2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708283]= ActionBean [actionType=Page view, actionName=Pro A Femenino, actionNode=SelectEvent: volleyball, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectEvent/null/Pro%20A%20Femenino, contextDataEventTime=2017-02-24 10:46:02.453, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=113865234, customDimensionsKey=SelectEvent, customDimensionsSecondParameter=null, customDimensionsDescription=Pro A Femenino]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708284]= ActionBean [actionType=Page view, actionName=volleyball, actionNode=SelectSport: volleyball, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectSport/Voleibol/volleyball, contextDataEventTime=2017-02-24 10:46:09.683, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=103842740, customDimensionsKey=SelectSport, customDimensionsSecondParameter=Voleibol, customDimensionsDescription=volleyball]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708285]= ActionBean [actionType=Event, actionName=OpenSportMenu:HomePage, actionNode=Go to: OpenSportMenu, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=null, contextDataEventTime=2017-02-24 10:46:53.187, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=OpenSportMenu, customDimensionsSecondParameter=HomePage, customDimensionsDescription=Despliegue menu deportes]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708286]= ActionBean [actionType=Event, actionName=Tenis:#/HomePage, actionNode=Go to: Tenis, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=null, contextDataEventTime=2017-02-24 10:46:58.277, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=Tenis, customDimensionsSecondParameter=#/HomePage, customDimensionsDescription=Ir a Tenis desde]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708287]= ActionBean [actionType=Page view, actionName=tennis, actionNode=SelectSportFromSportmenu: tennis, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectSportFromSportmenu/tennis/tennis, contextDataEventTime=2017-02-24 10:46:58.337, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=105844399, customDimensionsKey=SelectSportFromSportmenu, customDimensionsSecondParameter=tennis, customDimensionsDescription=tennis]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708288]= ActionBean [actionType=Page view, actionName=tennis, actionNode=SelectSport: tennis, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectSport/Tenis/tennis, contextDataEventTime=2017-02-24 10:46:58.487, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=105844399, customDimensionsKey=SelectSport, customDimensionsSecondParameter=Tenis, customDimensionsDescription=tennis]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708289]= ActionBean [actionType=Page view, actionName=ATP Rio de Janeiro, actionNode=SelectEvent: UNKNOWN, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectEvent/null/ATP%20Rio%20de%20Janeiro, contextDataEventTime=2017-02-24 10:47:13.903, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=130124063, customDimensionsKey=SelectEvent, customDimensionsSecondParameter=null, customDimensionsDescription=ATP Rio de Janeiro]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708290]= ActionBean [actionType=Page view, actionName=tennis, actionNode=SelectSport: tennis, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectSport/Tenis/tennis, contextDataEventTime=2017-02-24 10:47:50.22, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=105844399, customDimensionsKey=SelectSport, customDimensionsSecondParameter=Tenis, customDimensionsDescription=tennis]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708291]= ActionBean [actionType=Page view, actionName=ATP Delray Beach, actionNode=SelectEvent: UNKNOWN, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectEvent/null/ATP%20Delray%20Beach, contextDataEventTime=2017-02-24 10:47:52.093, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=129465272, customDimensionsKey=SelectEvent, customDimensionsSecondParameter=null, customDimensionsDescription=ATP Delray Beach]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708292]= ActionBean [actionType=Page view, actionName=ATP Marsella, actionNode=SelectEvent: UNKNOWN, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectEvent/null/ATP%20Marsella, contextDataEventTime=2017-02-24 10:48:07.793, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=130160370, customDimensionsKey=SelectEvent, customDimensionsSecondParameter=null, customDimensionsDescription=ATP Marsella]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708293]= ActionBean [actionType=Page view, actionName=tennis, actionNode=SelectSport: tennis, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectSport/Tenis/tennis, contextDataEventTime=2017-02-24 10:48:25.97, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=105844399, customDimensionsKey=SelectSport, customDimensionsSecondParameter=Tenis, customDimensionsDescription=tennis]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708294]= ActionBean [actionType=Page view, actionName=tennis, actionNode=SelectSport: tennis, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectSport/Tenis/tennis, contextDataEventTime=2017-02-24 10:48:59.303, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=105844399, customDimensionsKey=SelectSport, customDimensionsSecondParameter=Tenis, customDimensionsDescription=tennis]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708295]= ActionBean [actionType=Page view, actionName=WTA Dubai, actionNode=SelectEvent: UNKNOWN, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectEvent/null/WTA%20Dubai, contextDataEventTime=2017-02-24 10:49:01.757, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=129686602, customDimensionsKey=SelectEvent, customDimensionsSecondParameter=null, customDimensionsDescription=WTA Dubai]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708296]= ActionBean [actionType=Page view, actionName=tennis, actionNode=SelectSport: tennis, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=SelectSport/Tenis/tennis, contextDataEventTime=2017-02-24 10:49:16.17, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=105844399, customDimensionsKey=SelectSport, customDimensionsSecondParameter=Tenis, customDimensionsDescription=tennis]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708297]= ActionBean [actionType=Event, actionName=OpenSportMenu:PaisLigaPage, actionNode=Go to: OpenSportMenu, contextUserAnonId=GRG6B, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyH4, contextSessionIsFirst=false, viewUrl=null, contextDataEventTime=2017-02-24 10:49:27.8, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=5OpQr, contextOperationParentId=5OpQr, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=OpenSportMenu, customDimensionsSecondParameter=PaisLigaPage, customDimensionsDescription=Despliegue menu deportes]
2017-02-25 16:14:26 INFO  dao.ActionDAO Añadida accion[708298]= ActionBean [actionType=Event, actionName=attemptLogin:gasparin227, actionNode=attemptLogin, contextUserAnonId=3FhcC, contextUserAuthId=null, contextUserIsAuthenticated=false, contextSessionId=ZYyxD, contextSessionIsFirst=true, viewUrl=null, contextDataEventTime=2017-02-24 09:58:00.307, sliceDataTime=2017-02-24 10:00:00.0, contextOperationId=FDDHG, contextOperationParentId=FDDHG, contextOperationName=/deportes/, customDimensionsId=, customDimensionsKey=attemptLogin, customDimensionsSecondParameter=gasparin227, customDimensionsDescription=attemptLogin]
